name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
-9.729971,71,43.64617,-79.42451,0,470,4,7,914.0,0.12,1,0
-36.721367,122,43.64105,-79.37628000000002,2,105,180,169,2474.0,1.3,2,0
23.120491,3,43.66724,-79.41598,2,70,1,0,,,1,0
-34.878975,15,43.696020000000004,-79.45468000000002,2,72,1,217,166.0,1.79,2,0
-31.017498,122,43.6453,-79.3894,0,169,4,40,77.0,0.35,5,365
-16.541576,46,43.6689,-79.32592,0,53,120,26,3202.0,0.22,1,0
28.103563,83,43.7041,-79.39026,0,60,120,7,597.0,0.12,1,358
-38.028168,122,43.64151,-79.37643,0,141,180,1,3586.0,0.01,2,365
0.06412024,109,43.63532,-79.44049,0,100,28,110,72.0,0.93,5,342
-8.481555,91,43.69466,-79.28667,0,69,2,82,277.0,1.95,2,281
-19.47325,122,43.64451,-79.38185,0,135,60,0,,,13,365
11.07864,128,43.74948,-79.29146999999998,2,90,2,30,305.0,0.74,1,363
0.9795129,104,43.67185,-79.38583,0,119,1,50,164.0,0.43,11,307
-4.493482,23,43.65972,-79.38172,0,119,1,78,211.0,0.67,11,365
1.1837641,104,43.67105,-79.38481,2,84,1,18,370.0,0.15,11,302
-1.1697531,23,43.66899,-79.38548,0,119,1,56,118.0,0.49,11,344
-4.8274,87,43.642959999999995,-79.40451,2,55,91,24,572.0,0.53,1,179
-29.511751,122,43.64214000000001,-79.37994,0,174,60,0,,,13,179
20.855164,14,43.67618,-79.34357,2,60,1,4,3224.0,0.04,1,365
-27.81591,87,43.6458,-79.40769,2,65,10,23,168.0,0.2,3,304
8.714812,94,43.65853,-79.42709,2,56,2,69,77.0,0.63,2,292
-26.954712,104,43.67094,-79.38580999999998,0,100,1,50,36.0,0.44,11,330
29.719997,34,43.65956,-79.43228,0,149,6,273,131.0,2.45,2,128
-29.660988,87,43.641709999999996,-79.40469,0,108,30,29,1351.0,0.26,1,362
-5.2973723,87,43.64457,-79.40451,0,145,3,6,655.0,0.07,1,0
-35.813446,15,43.69662,-79.45325,2,62,1,88,225.0,0.85,2,84
8.030367,87,43.64458,-79.41022,0,219,3,122,159.0,1.53,1,245
-34.698235,122,43.632659999999994,-79.35616,0,299,2,57,382.0,0.53,1,88
26.79854000000001,110,43.66527,-79.32934,0,174,5,18,307.0,0.17,1,269
-9.893963,3,43.67175,-79.40398,0,160,2,6,606.0,0.11,1,0
-9.887769,49,43.65623,-79.46667,0,63,180,12,1188.0,0.12,1,365
-20.9902,122,43.64123,-79.39339,0,105,28,35,139.0,0.32,1,310
-13.189653,109,43.63559,-79.44048000000002,0,125,30,78,244.0,0.72,5,364
3.968923,29,43.68872,-79.3299,0,89,7,108,96.0,1.26,1,0
27.602926,136,43.7037,-79.4082,2,60,1,144,118.0,1.37,1,364
-20.395962,87,43.63743,-79.40104000000002,0,59,10,7,66.0,0.12,1,41
4.8332586,94,43.65781,-79.42065,0,350,5,10,1028.0,0.1,2,316
-35.10908,71,43.64776,-79.42709,0,180,3,5,1337.0,0.05,1,0
-29.054049,122,43.645509999999994,-79.39274,0,119,6,7,1804.0,0.07,1,126
-37.67683,122,43.64835,-79.36301999999998,2,91,3,27,159.0,0.25,1,242
23.450329,50,43.64618,-79.48833,0,80,4,35,69.0,0.37,1,219
-11.659194,62,43.64864,-79.40415,0,153,30,19,1146.0,0.32,1,340
